id,phase,task,description,depends_on,status,owner,priority,acceptance_criteria,notes
T01,Discovery,Read specification and frozen contracts,Review README fixtures totals incident and frozen model/test files before coding,,DONE,Team,P0,"Scope and non-negotiables captured in PROJECT_PLAN.md","2026-09-20: README, totals, incident, frozen model/enum/contract reviewed."
T02,Discovery,Profile corpus formats,Classify all message senders channels templates duplicates transfers micro debits non-transactions and hostile inputs,T01,DONE,Team,P0,"Format inventory and counts recorded; no parser assumptions left implicit","2026-09-20: 522 rows; SMS 466/email 56; senders HDFC 283, ICICI 161, HDFC email 36, ICICI email 20, non-bank/hostile 22; 183 exact duplicate groups."
T03,Incident,Reproduce water-can incident,Run the existing pipeline and trace the inflated amount to source data and code,T01,DONE,Team,P0,"Reproduction command and observed output recorded in incident notes","2026-09-20: baseline self-check produced 323 rows; m-00004 parsed as 92213.10 because Amounts.first skipped integer Rs.5 and selected Avl Bal."
T04,Incident,Measure incident blast radius,Identify the exact message/property rule and count every affected corpus transaction,T03,DONE,Team,P0,"Affected count and deterministic rule documented","2026-09-20: 28 raw uploads use integer transaction amounts; rule is any supported bank alert whose first transaction amount has no decimal, including duplicate uploads."
T05,Parsing,Implement email parser,Parse every supported email shape into the frozen normalized model without accepting non-transactions,T02,DONE,Team,P0,"Email fixtures produce expected fields and hostile/non-transaction messages are rejected","2026-09-20: implemented Date/account/movement/merchant template parser; non-bank email senders remain unsupported."
T06,Parsing,Complete ICICI SMS parsing,Add the missing ICICI format(s) using bank-stated occurrence time and exact amounts,T02,DONE,Team,P0,"All observed ICICI transaction formats parse with focused tests","2026-09-20: added compact ICICI Dr/Cr format; parser now yields 479 parsed messages before dedup."
T07,Incident,Fix amount parsing defect,Correct the root cause behind the water-can amount and add a regression test that fails before the fix,T03;T04,DONE,Team,P0,"Incident regression passes and ₹5 is never normalized as ₹92213.10","2026-09-20: fixed optional decimal parsing; AmountsTest and ParserRegressionTest cover Rs.5 before balance."
T08,Ingestion,Implement idempotent transaction identity,Merge messages evidencing one real transaction and make overlap/replay produce no duplicates,T05;T06;T07,DONE,Team,P0,"Same corpus twice yields byte-equivalent ledger and all evidence IDs are retained","2026-09-20: deterministic key reaches 257 rows; SQL and in-memory stores merge replayed evidence; IngestReplayTest proves byte-equivalent in-memory replay."
T09,Classification,Implement category rules,Classify SPEND INCOME MICRO and TRANSFER using corpus evidence and account ownership,T02;T08,DONE,Team,P0,"Every transaction has exactly one category and rules are documented","2026-09-20: MICRO is UPI-prefixed debit <= 100; PARAG KAPOOR paired movement is TRANSFER; card remains SPEND."
T10,Reporting,Implement ledger report,Write deterministic ledger.json with sorted evidence IDs and stable transaction ordering,T08;T09,DONE,Team,P0,"One entry per real transaction; output schema and amount scale are exact","2026-09-20: ledger document shape emits required fields with sorted evidence IDs and deterministic account/time/source ordering."
T11,Reporting,Implement summary report,Exclude transfers from spend/income and roll MICRO count and total separately,T09;T10,DONE,Team,P0,"Per-account totals match explainable corpus checkpoint values","2026-09-20: category totals now separate MICRO/TRANSFER; card account explains checkpoint aggregate spend difference."
T12,Reporting,Implement reconciliation report,Compare ledger movements with bank-stated balances/opening-closing evidence and report unexplained discrepancies,T10;T11,DONE,Team,P0,"Unaccounted items are explicit rather than hidden or force-fitted","2026-09-20: reconciliation emits 2 corpus-A discrepancies after excluding card available-limit values from account-balance evidence; both are explicit and traceable."
T13,Validation,Add corpus checkpoint validation,Compare transaction counts balances and category totals to corpus-a-totals.json and record explanations for any mismatch,T10;T11;T12,DEFERRED,Team,P0,"Validation output is reproducible and discrepancies are explained","2026-09-20: deferred by user; source corpus still has an unexplained ₹7,500 account-4821 movement."
T14,DocumentStore,Choose document database,Select DynamoDB or MongoDB based on local compose support and query/index fit,T01,DONE,Team,P1,"Decision and rejected alternative recorded in DECISION_LOG.md","2026-09-20: selected local MongoDB at localhost:27017, database ledger; no Docker."
T15,DocumentStore,Implement document schema and adapter,Implement the frozen DocumentStore access patterns with idempotent writes and message traceability,T14;T10,DONE,Team,P1,"Q1 Q2 Q3 are directly served by indexes/keys","2026-09-20: MongoDocumentStore targets localhost:27017/ledger/transactions, uses identity _id, account/time compound index, and source-message multikey index."
T16,DocumentStore,Add Docker Compose service,Make the selected document store start with one documented compose command,T14;T15,NOT_APPLICABLE,Team,P1,"Fresh environment boots document store and service without manual setup","2026-09-20: user selected local MongoDB without Docker; README documents localhost:27017 instead."
T17,DocumentStore,Measure query efficiency,Run the three queries at 100000 transactions and capture examined versus returned counts,T15;T16,DEFERRED,Team,P1,"Six honest numbers are recorded in README.md","2026-09-20: deferred by user; no benchmark numbers claimed."
T18,Migration,Implement resilient backfill,Copy legacy SQL data with deterministic identity, duplicate suppression and safe reruns after partial failure,T15,DONE,Team,P1,"Repeated and interrupted runs converge without duplicates","2026-09-20: dirty SQL canonicalizes to 11 unique transactions; first backfill writes 11, second writes 0/skips 11."
T19,Migration,Implement consistency checker,Compare transaction identity and full material fields between SQL and documents and report precise divergences,T15;T18,DONE,Team,P1,"Altered document store mutations are named with field-level differences","2026-09-20: clean stores produce 0 divergences; altered amount reports field mismatch and document-only identity."
T20,Testing,Expand focused test suite,Cover parser variants deduplication classification reports incident backfill and consistency checker,T05;T06;T08;T09;T12;T18;T19,DONE,Team,P0,"Tests fail for known regressions and pass for corrected behavior","2026-09-20: Gradle test passes 23 tests; Mongo adapter smoke-tested against local ledger database."
T21,Documentation,Write decision log,Record 8-10 consequential choices alternatives evidence and reversals,T01;T02;T14,DONE,Team,P0,"Entries are specific to this repository and include rejected options","2026-09-20: 12 decision entries recorded, including deferred discrepancy/benchmark scope."
T22,Documentation,Write data-made-decisions log,Record corpus observations choices and what more data/time would change,T02;T09;T13,DONE,Team,P0,"Unspecified behavior is documented with evidence rather than guesses","2026-09-20: corpus identity, incident, transfer, micro, card, and timestamp decisions documented."
T23,Documentation,Write AI disclosure and mistake log,Record tools used and at least one concrete wrong/worse suggestion with corrected version,T01;T07;T09,DONE,Team,P0,"Both AI output and final correction are preserved","2026-09-20: tools, verification rules, and parser regression mistake documented."
T24,Documentation,Write five-line incident update,Summarize break discovery blast radius fix and prevention in exactly five lines,T04;T07,DONE,Team,P0,"Incident channel text is five lines and operationally actionable","2026-09-20: incident/INC-2026-09-11.md contains exactly five operational update lines."
T25,Release,Run verify and walkthrough,Run verify.sh compose boot end-to-end pipeline migration checker and tests; record walkthrough,T13;T17;T19;T20;T21;T22;T23;T24,DONE,Team,P0,"README gets a fresh setup to passing verification in under five minutes","2026-09-20: Gradle tests/selfCheck, SQL ingest, Mongo backfill/rerun/check, and three query smoke paths completed; Docker/benchmark deferred by user."
